Mã,Số phiên,Từ,Đến,Giá TB,Std lợi suất (%),ADF giá (p),ADF lợi suất (p),Train 70/30,Test 70/30,Train 80/20,Test 80/20
VCB,2698,2015-07-15,2026-04-29,38.3,1.756,0.7179,0.0,1853,795,2118,530
FPT,2698,2015-07-15,2026-04-29,42.5,1.657,0.8297,0.0,1853,795,2118,530
HPG,2698,2015-07-15,2026-04-29,14.7,2.071,0.7436,0.0,1853,795,2118,530
VIC,2698,2015-07-15,2026-04-29,38.9,2.069,1.0,0.0,1853,795,2118,530
VNM,2698,2015-07-15,2026-04-29,66.0,1.533,0.0426,0.0,1853,795,2118,530
