Ticker,Split,Model,RMSE,MAE,MAPE (%),R²,Directional Accuracy (%)
FPT,70_30,GRU,1.8,1.34,1.396,0.9879,47.02
HPG,70_30,GRU,0.37,0.26,1.18,0.9722,45.67
VCB,70_30,GRU,0.92,0.58,0.944,0.9177,49.91
VIC,70_30,GRU,3.51,1.92,1.818,0.9977,56.2
VNM,70_30,GRU,0.93,0.62,1.054,0.9431,56.7
FPT,80_20,GRU,1.84,1.35,1.501,0.9838,46.44
HPG,80_20,GRU,0.42,0.29,1.276,0.9632,51.91
VCB,80_20,GRU,1.08,0.69,1.123,0.9179,51.99
VIC,80_20,GRU,4.31,2.82,2.381,0.9962,53.54
VNM,80_20,GRU,1.04,0.72,1.227,0.941,48.23
