Mã,Facebook Prophet,GRU,LSTM,Linear Regression,Transformer
FPT,25.23,1.88,1.88,1.9,6.13
HPG,2.25,0.42,0.42,0.37,0.67
VCB,16.19,0.93,0.94,0.95,2.17
VIC,76.65,3.02,3.03,3.11,46.77
VNM,3.84,0.97,0.97,0.97,1.14
