Mã,ARIMA,Facebook Prophet,GRU,LSTM,Linear Regression,SVR,Transformer
FPT,1.39,21.01,1.42,1.39,1.44,1.42,4.65
HPG,0.26,1.83,0.26,0.26,0.28,0.28,0.54
VCB,0.58,14.35,0.58,0.58,0.6,0.57,1.33
VIC,1.66,49.37,1.69,1.71,2.35,2.28,24.08
VNM,0.64,3.05,0.64,0.64,0.7,0.69,0.77
