Ticker,Model,RMSE_mean,MAE_mean,MAPE (%)_mean,R²_mean,Directional Accuracy (%)_mean,RMSE_std,MAE_std,MAPE (%)_std,R²_std,Directional Accuracy (%)_std,Folds
FPT,Linear Regression,1.1362,0.8069,1.2862,0.9822,49.464,0.5959,0.4602,0.2419,0.0129,2.2398,5
HPG,Linear Regression,0.3761,0.2736,1.563,0.969,50.132,0.121,0.0942,0.4042,0.0259,3.039,5
VCB,Linear Regression,0.7479,0.5179,1.247,0.9547,48.838,0.1542,0.0833,0.2846,0.0328,1.4072,5
VIC,Linear Regression,1.4834,1.0033,1.6837,0.9596,47.318,1.6427,1.0943,0.6359,0.0297,1.7517,5
VNM,Linear Regression,0.9716,0.7003,1.1315,0.9491,48.68,0.2639,0.1813,0.2382,0.0159,3.3877,5
