Mã,ARIMA,Facebook Prophet,GRU,LSTM,Linear Regression,SVR,Transformer
FPT,1.8,42.08,1.8,1.8,1.83,1.8,6.46
HPG,0.37,21.95,0.37,0.37,0.37,0.37,1.71
VCB,0.92,13.81,0.92,0.92,0.93,0.92,1.75
VIC,3.51,67.61,3.48,3.49,3.62,3.52,36.09
VNM,0.92,10.1,0.92,0.93,0.92,0.93,1.01
