Mã,Facebook Prophet,GRU,LSTM,Linear Regression,Transformer
FPT,36.15,1.12,1.12,1.14,4.05
HPG,21.12,0.28,0.28,0.25,1.46
VCB,13.34,0.57,0.57,0.6,1.22
VIC,43.42,1.15,1.15,1.21,15.33
VNM,8.5,0.61,0.61,0.61,0.71
