Ticker,Model,RMSE_mean,MAE_mean,MAPE (%)_mean,R²_mean,Directional Accuracy (%)_mean,RMSE_std,MAE_std,MAPE (%)_std,R²_std,Directional Accuracy (%)_std,Folds
FPT,Linear Regression,930.1169,632.6227,1.2098,0.9791,52.496,638.1692,442.7362,0.1456,0.0251,3.1949,5
HPG,Linear Regression,327.6847,223.8855,1.4563,0.9842,47.496,109.5037,82.1944,0.351,0.0109,4.4899,5
VCB,Linear Regression,1159.4522,698.81,1.1766,0.9662,50.46,359.9854,80.0285,0.2413,0.011,2.4763,5
VIC,Linear Regression,1386.5743,857.6244,1.4455,0.9841,51.126,1380.9545,780.5513,0.3735,0.0095,3.7141,5
VNM,Linear Regression,990.0442,682.5116,1.0409,0.9591,50.976,201.8547,141.3381,0.1304,0.016,1.1379,5
